p1reg,0,1,2,3,4
0.9997711144387722,0.0000,0.0000,1.0000,0.0000,0.0000
2.0002746619284153,0.0000,0.0000,1.0000,0.0000,0.0000
3.0000457763671875,0.0000,0.0000,1.0000,0.0000,0.0000
3.9998168908059597,0.0000,1.0000,0.0000,0.0000,0.0000
5.000320438295603,0.0000,0.0000,1.0000,0.0000,0.0000
6.000091552734375,0.0000,1.0000,0.0000,0.0000,0.0000
6.999862667173147,0.0000,0.0000,1.0000,0.0000,0.0000
8.00036621466279,0.0000,1.0000,0.0000,0.0000,0.0000
9.000137329101562,0.0000,1.0000,0.0000,0.0000,0.0000
9.999908443540335,0.0000,1.0000,0.0000,0.0000,0.0000
10.999679557979107,0.0000,1.0000,0.0000,0.0000,0.0000
16.999771110713482,0.0000,0.0000,0.0000,0.0000,1.0000
18.000274658203125,0.0000,0.0000,0.0000,0.0000,1.0000
19.000045772641897,0.0000,0.0000,0.0000,0.0000,1.0000
19.99981688708067,0.0000,0.0000,0.0000,1.0000,0.0000
21.000320434570312,0.0000,0.0000,0.0000,1.0000,0.0000
22.000091549009085,0.0000,0.0000,0.0000,1.0000,0.0000
22.999862663447857,0.0000,0.0000,1.0000,0.0000,0.0000
24.0003662109375,0.0000,1.0000,0.0000,0.0000,0.0000
25.000137325376272,0.0000,1.0000,0.0000,0.0000,0.0000
25.999908439815044,0.0000,0.0000,0.0000,1.0000,0.0000
26.999679554253817,0.0000,0.0000,0.0000,1.0000,0.0000
28.00018310174346,0.0000,0.0000,0.0000,1.0000,0.0000
28.999954216182232,0.0000,0.0000,0.0000,1.0000,0.0000
29.999725330621004,1.0000,0.0000,0.0000,0.0000,0.0000
31.99999999254942,0.0000,1.0000,0.0000,0.0000,0.0000
34.000274654477835,0.0000,0.0000,0.0000,1.0000,0.0000
35.00004576891661,0.0000,0.0000,0.0000,1.0000,0.0000
35.99981688335538,0.0000,0.0000,0.0000,1.0000,0.0000
37.00032043084502,0.0000,0.0000,0.0000,1.0000,0.0000
38.000091545283794,0.0000,0.0000,0.0000,1.0000,0.0000
38.99986265972257,0.0000,0.0000,1.0000,0.0000,0.0000
40.00036620721221,0.0000,0.0000,1.0000,0.0000,0.0000
41.00013732165098,0.0000,0.0000,0.0000,1.0000,0.0000
41.999908436089754,0.0000,0.0000,0.0000,1.0000,0.0000
42.999679550528526,0.0000,0.0000,1.0000,0.0000,0.0000
44.00018309801817,0.0000,1.0000,0.0000,0.0000,0.0000
44.99995421245694,0.0000,1.0000,0.0000,0.0000,0.0000
45.999725326895714,0.0000,1.0000,0.0000,0.0000,0.0000
47.00022887438536,0.0000,1.0000,0.0000,0.0000,0.0000
47.99999998882413,1.0000,0.0000,0.0000,0.0000,0.0000
